Subdivision_id,Num_trees
205,1
219,1
234,1
262,1
897,1
205,1
281,1
205,1
281,1
235,1
166,1
257,2
714,1
261,1
196,1
235,1
721,1
753,1
273,1
205,1
281,1
262,1
283,1
180,1
727,1
257,1
239,1
727,1
195,1
257,1
239,1
235,1
639,1
199,1
180,1
205,1
480,1
281,1
281,1
205,1
205,1
205,1
665,1
214,1
262,1
205,1
762,1
205,1
262,1
198,1
205,1
643,1
199,2
257,1
226,1
898,1
205,1
223,1
730,1
271,1
205,1
257,1
292,1
205,1
205,1
262,1
257,1
301,1
257,1
871,1
521,1
228,1
205,1
219,1
239,1
273,1
163,1
274,1
180,1
205,1
205,1
719,1
241,1
180,1
469,1
205,1
236,1
205,1
557,2
198,1
205,1
271,1
166,1
787,1
205,1
624,1
205,1
228,1
293,1
205,1
180,1
257,1
205,1
205,1
205,1
205,1
205,1
798,1
720,1
888,1
648,1
196,1
205,1
205,1
198,1
281,1
205,1
205,1
205,1
292,1
281,1
205,1
301,1
281,1
205,1
282,1
205,1
281,1
248,2
281,1
199,1
205,1
195,1
853,1
303,1
219,1
755,2
214,1
888,1
897,1
173,1
283,1
205,1
281,1
196,1
648,1
205,1
569,1
205,1
643,1
161,1
281,1
205,1
721,1
797,2
257,1
205,1
239,2
205,1
165,1
205,1
239,1
163,1
522,1
205,1
262,1
173,1
811,1
632,1
205,1
205,1
828,1
778,1
762,1
236,1
205,1
180,1
236,1
205,1
888,1
262,1
205,1
205,1
262,1
180,1
721,1
281,1
205,1
205,1
205,1
721,1
205,1
205,1
257,1
180,1
205,1
239,1
714,1
277,1
292,1
205,1
262,1
205,1
205,1
205,1
727,1
235,1
627,1
205,1
281,1
194,1
194,1
180,1
257,1
257,1
239,1
262,1
469,1
205,1
239,1
205,1
205,1
235,1
205,1
205,1
576,1
205,1
832,2
199,1
219,1
163,1
660,1
262,1
831,1
281,1
205,1
833,1
223,1
281,1
262,1
205,1
205,1
576,1
198,1
644,1
281,1
180,1
205,1
205,1
281,1
281,1
281,1
205,1
281,1
180,1
180,2
205,1
205,1
219,1
205,1
193,1
205,1
205,1
205,1
642,1
205,1
487,1
205,1
278,1
221,1
205,1
257,1
196,1
496,1
205,1
196,1
835,1
292,1
205,1
205,1
239,1
205,1
205,1
624,1
205,1
236,1
236,1
205,1
211,1
239,1
259,1
165,1
205,1
180,1
275,1
236,1
211,1
648,1
618,1
923,1
205,1
173,1
292,1
259,1
205,1
205,1
162,1
168,1
239,1
206,1
888,1
205,1
524,1
888,1
257,1
292,1
195,1
205,1
283,1
205,1
205,1
205,1
205,1
205,1
205,1
205,1
888,1
884,1
205,1
205,1
205,1
205,1
205,1
257,1
205,1
795,1
198,1
916,2
181,1
205,1
257,1
838,1
199,1
262,1
293,1
205,1
770,1
198,1
194,1
721,1
289,1
633,1
205,1
